eventID,occurrenceID,measurementType,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementTypeID,measurementID
IYS2022-TINRO-3-1-FC-5,IYS2022-TINRO-3-1-FC-5-1,Abundance of cells per milliliter,8898,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-1-FC-5-1-1
IYS2022-TINRO-3-1-FC-5,IYS2022-TINRO-3-1-FC-5-1,Particulate Organic Carbon per cell,347.9,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-1-FC-5-1-2
IYS2022-TINRO-3-1-FC-5,IYS2022-TINRO-3-1-FC-5-1,Biomass as carbon per unit volume,3.1,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-1-FC-5-1-3
IYS2022-TINRO-3-1-FC-5,IYS2022-TINRO-3-1-FC-5-1,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-1-FC-5-1-4
IYS2022-TINRO-3-1-FC-5,IYS2022-TINRO-3-1-FC-5-1,NA,OraPicoProk,http://vocab.nerc.ac.uk/collection/F02/current/F0200003/,NA,NA,NA,IYS2022-TINRO-3-1-FC-5-1-5
IYS2022-TINRO-3-1-FC-5,IYS2022-TINRO-3-1-FC-5-1,Abundance of cells per milliliter,4442,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-1-FC-5-1-6
IYS2022-TINRO-3-1-FC-5,IYS2022-TINRO-3-1-FC-5-1,Particulate Organic Carbon per cell,2058.1,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-1-FC-5-1-7
IYS2022-TINRO-3-1-FC-5,IYS2022-TINRO-3-1-FC-5-1,Biomass as carbon per unit volume,9.1,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-1-FC-5-1-8
IYS2022-TINRO-3-1-FC-5,IYS2022-TINRO-3-1-FC-5-1,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-1-FC-5-1-9
IYS2022-TINRO-3-1-FC-5,IYS2022-TINRO-3-1-FC-5-1,NA,RedPico,http://vocab.nerc.ac.uk/collection/F02/current/F0200004/,NA,NA,NA,IYS2022-TINRO-3-1-FC-5-1-10
